Structure;Index;Name;Visible;Tagged;Visibility Locked;Color;Calculate Charges;Number of Atoms;Molecular Formula;Molecular Composition;Molecular Weight;Exact Mol. Weight;Net Formal Charge;SourceTag;Compound;# Confs.;Matching Features;Score;Best Match;Pharmacophore-Fit Score;Source Database;Active/Decoy;mol index;Pharmacophore fit Score;Mol. Index
;331;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;205109-23-5 (R);500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.5429;Model-1-1;45.54;DHC_full.ldb;unknown;;;
;332;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;222159-58-2;240;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.0145;Model-1-1;45.01;DHC_full.ldb;unknown;;;
;333;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;23050-05-7;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.5143;Model-1-1;46.51;DHC_full.ldb;unknown;;;
;334;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;2058292-99-0;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.6057;Model-1-1;45.61;DHC_full.ldb;unknown;;;
;335;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;4-O-Methyldavidigenin;202;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.2078;Model-1-1;45.21;DHC_full.ldb;unknown;;;
;336;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;53596-71-7;93;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.4617;Model-1-1;45.46;DHC_full.ldb;unknown;;;
;337;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;2058292-98-9;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.1185;Model-1-1;46.12;DHC_full.ldb;unknown;;;
;338;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;2032374-39-1;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;46.3358;Model-1-1;46.34;DHC_full.ldb;unknown;;;
;339;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;61463-10-3;350;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.5292;Model-1-1;45.53;DHC_full.ldb;unknown;;;
;340;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;false;false;false;255 255 255 255;false;;;;;;;17b-HSD3-LS3-1-Harada-2012-19-Fink-18m-model-7;2032374-55-1;500;H:13111874231359991|H:13111874325853532|HBA:13111874326577653|HBD:13111874327187604;45.7134;Model-1-1;45.71;DHC_full.ldb;unknown;;;
