Structure,Index,Name,Visible,Tagged,Visibility Locked,Color,Calculate Charges,Number of Atoms,Molecular Formula,Molecular Composition,Molecular Weight,Exact Mol. Weight,Net Formal Charge,AbsoluteEnergy,ConfNumber,RelativeEnergy,11b-HSD-1-refinedX005-1-HBA-model4new,11b-HSD-triterpenes-common-features,11b-HSD1-X005-1-HBA-ohneShape-model4,11b-HSD1-X005-1-model1,11b-HSD2-refinedX005-2-model2new,17b-HSD3-DS-model-1-X007-1,17b-HSD3-DS-model-2-X007-31,17b-HSD4-quercetin-Wetzel-final,17b-HSD4-Quercetin-Wetzel-HBA-F-model3-2,17b-HSD4-Quercetin-Wetzel-HBA-F-model8-1,17b-HSD5-1ry8-rut-1.60-x-1,17b-HSD5-1s2c-flf-1.80-x-1-s,17b-HSD5-1s2c-flf-1.80-x-1,17b-HSD5-1s2c-flf-1.80-x-2-s,17b-HSD5-1zq5-e04-1.30-x-2-s,17b-HSD5-2f38-15m-2.00-x-1-s,17b-HSD5-X009-2,17b-HSD7-Fiala-DS-shapemodell_30,17b-HSD7-Fiala-DS-shapemodell_42,17b-HSD7-Fiala-DS-shapemodell_49,5-LO-N004-1,5-LO-N004-2,5-LO-W001-5,AChE-1acj-tha-HBA-vers,AChE-GNT-Hypo1-shape,AChE-X015-1,aromatase-X006-1,aromatase-X006-2,aromatase-X006-3,COX-1-X017-1,CYP2D6-quant-X012-1,CYP2D6-X012-3,CYP2D6-X012-42,FXR-1osh-fex-1.78-d-1,FXR-1osh-fex-1.78-d-2,FXR-3bej-muf-1.90-x-2-s,FXR-3bej-muf-1.90-x-2,FXR-3fli-33y-2.00-x-1-s,FXR-3fli-33y-2.00-x-1,FXR-X008-1,GR-1nhz-486-2.30-T-2,GR-1nhz-486-2.30-T-3,GR-1nhz-486-2.30-T-4,GR-1nhz-486-2.30-T-5,GR-1p93-dex-2.70-T-1,GR-3bqd-day-2.50-T-1,GR-3bqd-day-2.50-T-2,GR-3cld-gw6-2.84-T-1,GR-3e7c-866-2.15-T-1,GR-T001-1,GR-T001-2,GR-T001-3,GR-T002-1,GR-T002-2,GR-T003-1,GR-T007-1,GR-T008-1,GR-T009-1,GR-T010-1,GR-T011-1,GR-T012-1,GR-T013-1,GR-T014-1,GR-T017-1,IKK2-3rzf-xnm-4.00-n-1,IKK2-N001-6,LXR-1pq6,LXR-1pqc,LXR-1uhl,LXR-1upv,LXR-1upw,LXR-2acl,LXR-3fal,LXR-3fc6,model_DS4,mPGES-1-Hypo_62_01-non-acidic,mPGES-1-X019-2,MR-2a3i-c0r-1.95-Z-1,MR-2aa2-as4-1.95-Z-1,MR-2aa2-as4-1.95-Z-2,MR-2oax-snl-2.29-Z-1,MR-Z001-1,MR-Z001-2,MR-Z002-1,MR-Z002-2,NFkB-DNA-site-N003-1,p38-MAPK-1a9u-sb2-800mod1_h,p38-MAPK-1bl6-sb6-800mod1_h,p38-MAPK-1bmk-sb5-800mod1_ha,p38-MAPK-1ouk+shape,p38-MAPK-1wbvneu+shape,p38-MAPK-2rg6-3cg2+shape,p38-MAPK-3dt1-3ctq+shape,PPARa-1i7g-az2-2.24-x-1,PPARa-1k7l-544-2.50-p-1-s,PPARa-1k7l-544-2.50-p-1,PPARa-1kkq-471-3.00-x-1,PPARa-P007-1,PPARd-1gwx-433-2.50-p-1-s,PPARd-1gwx-433-2.50-p-1,PPARd-1y0s-331-2.65-p-1-s,PPARd-1y0s-331-2.65-p-1,PPARd-1y0s-331-2.65-p-2-s,PPARd-2j14-gni-2.80-p-1-s,PPARg-1fm6-brl-2.10-p-1-s,PPARg-1fm6-brl-2.10-p-1,PPARg-1fm9-570-2.10-x-1,PPARg-1fm9-570-2.10-x-2,PPARg-1i7i-az2-2.35-x-1,PPARg-1k74-544-2.30-p-1-s,PPARg-1knu-ypa-2.50-p-1-s,PPARg-1knu-ypa-2.50-p-2-s,PPARg-1nyx-drf-2.65-p-1-s,PPARg-1nyx-drf-2.65-p-1,PPARg-1nyx-drf-2.65-p-2-s,PPARg-1wm0-plb-2.90-p-1-s,PPARg-1zeo-c01-2.50-p-1-s,PPARg-1zeo-c01-2.50-p-1,PPARg-1zgy-brl-1.80-p-1-s,PPARg-2ath-3ea-2.28-p-1-s,PPARg-2f4b-eha-2.07-p-1-s,PPARg-2fvj-ro0-1.99-p-1-s,PPARg-2g0g-sp0-2.54-p-1-s,PPARg-2g0g-sp0-2.54-p-1,PPARg-2g0h-sp3-2.30-p-1-s,PPARg-2gtk-208-2.10-p-1-s,PPARg-2hfp-nsi-2.00-p-1-s,PPARg-2prg-brl-2.30-p-1-s,PPARg-2prg-brl-2.30-p-1,PPARg-2q59-240-2.20-p-1-s,PPARg-4prg-072-2.90-p-1-s,PPARg-P002-1,PTP1b-1bzj-pic-2.25-d-1,PTP1b-1c84-761-2.35-d-1,PTP1b-1c85-oba-2.72-d-1,PTP1b-1c86-opa-2.30-d-1,PTP1b-1c87-opa-2.10-d-1,PTP1b-1c88-ota-1.80-d-1,PTP1b-1ecv-878-1.95-d-2,PTP1b-1gfy-col-2.13-d-1,PTP1b-2bgd-t1d-2.40-d-1,PTP1b-2cnf-f32-2.20-d-1-s,PTP1b-2cnf-f32-2.20-d-1,PTP1b-2cng-ize-1.90-d-1,PTP1b-2cni-izf-2.00-d-1-s,PTP1b-2cni-izf-2.00-d-1
,200,Adunctin E,false,false,false,255 255 255 255,false,,,,,,,91.4779,1,19.9379,0,0,0,0,0.133893,0,0,0,0,0,0,0,0,0,0,0,0.00547892,0,0,0,0,0,0,0,0,0,0,0.808669,0.374214,0.712716,0.429207,0.914558,0,0,0,0,0,0.108547,0.108547,0.526292,0,0,0,0,0,0,0,0,0,0,0.000145171,0.323747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588606,1.43764e-005,0,0,0,0,0,0,0,0,0,0,0,0.000145171,0.323747,0,0,0.0447324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000650702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,201,Amoenin A,false,false,false,255 255 255 255,false,,,,,,,63.0251,1,16.3162,0,0,0,0,0,0,0,4.30445e-005,6.02307e-007,0.261982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765665,0.535418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,202,Angoluvarin,false,false,false,255 255 255 255,false,,,,,,,74.3726,1,19.7539,0.103028,0,0.36738,0,0,0,0.447772,0,0,0.0987624,0,0,0,0,0,0,0,0.258517,0,0,0.392218,0,0.556593,0,0,0,0,0.787507,0.529185,0.607062,0.552344,0.891181,0,0,0,0,0,0.00742476,0.152067,0.50771,0,0,0,0.176537,0,0.0186517,0.200102,0,0,0,0,0.471551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277588,0.233822,0,0,0,0.00347831,0.0402257,1.11886e-005,0,0,0,0,0.314237,0,0.201235,0.0694924,3.8792e-007,0,0,0.471551,0,0.37961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000623121,0.000623121,0,0.0305325,0.054421,0.054421,0,0,0,0,0,0,0.00174511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,203,Anguvetin,false,false,false,255 255 255 255,false,,,,,,,71.1372,1,19.9038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265961,0,0,0,0.370752,0.611112,0.487097,0.88152,0.334846,0.783302,0,0,0,0,0,0.649386,0.649386,0.274229,0,0,0,0,0,0,0,0,0,0,0,0.435719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09327e-007,0,1.21718e-005,0.144562,0,0,0,0,0,0,0,0,0,0,0,0,0.435719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370242,0.370242,0,0,0,0,0.00336477,0.00336477,3.67115e-005,0,0,0,0,0,1.42024e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,204,Asebogenin,false,false,false,255 255 255 255,false,,,,,,,50.3806,1,18.9996,0,0,0,0,0,0,0,4.84699e-006,0.00470177,0.302219,0,0,0,0,0,0,0,0,0,0,0,0,0.435286,0,0.577284,0,0,0.710283,0,0.420415,0.241362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000236915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,205,Asebotin,false,false,false,255 255 255 255,false,,,,,,,58.0387,1,19.9664,0,0,0,0,0.361775,0,0,0.0171031,0,0.272237,0,0,0,0,0,0,0,0,0,0,0,0,0.634477,0,0.334222,0,0.555379,0.80753,0.555379,0.534413,0.504624,0.768838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76002e-011,0,2.93377e-008,0,0,0,0.0764712,0,0,0.217244,0,0,0,0,0,0,0,0,0,0,0,0.0515887,0,0.019895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15061,0,0,0,0,0,0,0
,206,Aspalathin,false,false,false,255 255 255 255,false,,,,,,,58.2727,1,15.9114,0,0,0,0,0,0,0,0.00307397,0.000878917,0.235448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793046,0.55669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,207,Balsacone A,false,false,false,255 255 255 255,false,,,,,,,67.8877,1,19.9742,0,0,0.16039,0,0,0.301413,0,0,9.93008e-007,0.43207,0,0,0,0,0.0417642,0,0,0,0,0,0,0,0.57246,0,0,0,0,0.805851,0.484426,0.872111,0.532171,0.859214,0,0,0,0,0.0259182,0.00275991,0.00275991,0.28577,0,0,0,0,0,0,0,0,0,0,0,0.0854117,0,0,0,0,0,0,0,0,0,0,0,0,0.00705862,0,0.000180757,0.587591,0,0,0,0.567426,0,0,0,0,0,0.600607,0,0.329919,0.523568,0.00554997,0,0,0.0854117,0,0.0471296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023426,0,0,0,0,0,0,0,0,0,0,0,0,0.0643796,0.00515119,0.00515119,0,0,0,0,0,0,0.0187376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,208,Balsacone B,false,false,false,255 255 255 255,false,,,,,,,67.6636,1,19.9366,0.0237783,0,0.0237783,0,0,0,0,0,9.86097e-011,0.00157509,0,0,0,0,0,0,0,0,0,0,0,0,0.467737,0,0,0,0,0.791539,0.560609,0.736927,0.579595,0.965128,0,0,0,0,0,0.0448232,0.0448232,0.390429,0,0.0179775,0.0179775,0.510354,0,0,0,0,0,0,0,0.0676697,0,0,0,0,0,0,0.00673443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543784,0,0.493322,0,0.515446,0.431563,0,0,0,0.0676697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036428,0,0,0,0,0,0,0,0,0,0.250519,0.250519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,209,Balsacone C,false,false,false,255 255 255 255,false,,,,,,,65.0926,1,20.027,0,0,0,0,0,0,0,0.000557048,1.78702e-008,1.3043e-006,0,0,0,0,0,0,0,0,0,0,0,0,0.232218,0,0,0,0,0.774853,0.516442,0.332416,0.457075,0.956595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7186e-005,0.00021163,0,0,0,0,0,0,0,0,0,0,0.473305,0,0.0858365,0.360955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,210,Balsacone P,false,false,false,255 255 255 255,false,,,,,,,79.7316,1,19.7442,0,0,0.0384918,0,0,0.597956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392611,0,0,0,0,0.773752,0.512597,0.393332,0.571017,0.878461,0,0,0,0,0.127481,0,0,0.533772,0,0,0,0,0,0,0,0,0,0,0.0608488,0.201466,0,0,0,0,0,0,0,0,0,0,0,0,0.213929,0,0,0,0,0,0,0.227149,0,0,0,0,0,0.402953,0,0.0059505,0.336672,0,0,0.0608488,0.201466,0,0.000209921,0,0,0,0,0,0,0,0,0,0,0,0.0277672,0.0277672,0,0,0.00285386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221293,0.221293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
