1665292-77-2;CC(=CCC\C(=C\Cc1cc(CCC(=O)c2c(O)cc(O)c(CC=C(C)C)c2O)ccc1O)\C)C
171828-56-1;COc1c(O)cc(CCC(=O)c2c(O)cc(O)c(CC=C(C)C)c2O)cc1CC=C(C)C
171828-57-2;COc1c(O)cc(CCC(=O)c2c(O)cc3OC(C)(C)CCc3c2O)cc1CC=C(C)C
179003-87-3;COc1c(ccc2occc12)C(=O)CCc3ccc4OCOc4c3
1801581-11-2;COC(C)(C)CCC\C(=C\Cc1c(O)c(O)ccc1CCC(=O)c2ccc(O)cc2O)\C
1801581-14-5;CC(C)(O)CCCC1(C)CCc2c(CCC(=O)c3ccc(O)cc3O)ccc(O)c2O1
1801581-15-6;COC(C)(C)CCCC1(C)CCc2c(CCC(=O)c3ccc(O)cc3O)ccc(O)c2O1
1801581-16-7;CC(C)(O)CCCC1(C)Oc2c(O)ccc(CCC(=O)c3ccc(O)cc3O)c2CC1O
1802513-27-4;OCC1O[C@@H](Oc2cc(O)ccc2C(=O)CCc3ccccc3)[C@@H](O)C(O)[C@@H]1O
180995-55-5;COc1ccc(C(=O)CCc2ccc(OC)c3OC(C)(CCC=C(C)C)C=Cc23)c(O)c1
1810049-80-9;COc1ccc(cc1)C(=O)CCc2ccc(O)cc2OC
1810701-00-8;COc1cc(OC)c(CCC(=O)c2ccc(O)cc2)c(OC)c1O
1810726-06-7 (S);CO[C@@H]1Cc2c(CCC(=O)c3ccc(O)cc3O)ccc(O)c2O1
1823102-91-5;COc1ccc(C(=O)C[C@@H](O)c2ccccc2)c(O)c1OC
1883337-95-8 (S);CC(=CCC[C@]1(C)Oc2c(O)ccc(CCC(=O)c3ccc(O)cc3O)c2C=C1)C
1883337-95-8;CC(=CCC[C@@]1(C)Oc2c(O)ccc(CCC(=O)c3ccc(O)cc3O)c2C=C1)C
188438-69-9;COc1ccc(cc1)C2=C(O)C(=O)c3c(O)cc(O)c(Cc4c(O)c(C(=O)CCc5ccc(O)cc5)c(O)c(C)c4OC)c3O2
188438-71-3;COC1=C(Oc2c(Cc3c(O)c(C(=O)CCc4ccc(O)cc4)c(O)c(C)c3OC)c(O)cc(O)c2C1=O)c5ccc(OC)cc5
188438-72-4;COC1=C(Oc2c(Cc3c(O)c(C(=O)CCc4ccc(O)cc4)c(O)c(C)c3OC)c(O)cc(O)c2C1=O)c5ccccc5
188438-73-5;COC1=C(Oc2c(Cc3c(OC)c(C)c(OC)c(C(=O)CCc4ccc(OC)cc4)c3OC)c(OC)cc(OC)c2C1=O)c5ccc(OC)cc5
188438-74-6;COC1=C(Oc2c(Cc3c(OC)c(C)c(OC)c(C(=O)CCc4ccc(OC)cc4)c3OC)c(OC)cc(OC)c2C1=O)c5ccccc5
